Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description
hyundai,elantra,2005,31093,282845,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2005 hyundai elantra with Rear camera, Navigation system, Bluetooth, Adaptive cruise control. Condition: Repainted bumper."
mclaren,senna,2013,5314704,197989,Sports Car,8,Automatic Transmission,Gasoline,White, Dubai,"2013 mclaren senna with Leather seats, Rear camera. Condition: Repainted bumper."
toyota,prado,2020,117540,257460,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2020 toyota prado with Rear camera, Sunroof. Condition: Accident history."
toyota,hilux,2012,163089,128277,Pick Up Truck,4,Automatic Transmission,Diesel,Silver, Dubai,"2012 toyota hilux with Sunroof, Leather seats. Condition: Minor scratches."
bmw,5-series,2024,158711,157527,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2024 bmw 5-series with Rear camera, Sunroof, Bluetooth, Leather seats. Condition: Engine repaired."
jaguar,xe,2008,88474,171656,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2008 jaguar xe with Sunroof, Navigation system, Bluetooth, Adaptive cruise control. Condition: Repainted bumper."
mercedes-benz,gla,2012,168724,296414,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2012 mercedes-benz gla with Navigation system, Rear camera, Sunroof. Condition: Minor scratches."
hyundai,tucson,2020,91339,113897,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2020 hyundai tucson with Navigation system, Adaptive cruise control, Sunroof, Rear camera. Condition: Repainted bumper."
nissan,x-trail,2021,34574,19000,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2021 nissan x-trail with Bluetooth, Sunroof, Rear camera. Condition: No damage."
nissan,patrol,2016,50231,62207,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2016 nissan patrol with Leather seats, Adaptive cruise control. Condition: Accident history."
land-rover,lr4,2016,77344,72475,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2016 land-rover lr4 with Adaptive cruise control, Bluetooth. Condition: Minor scratches."
chevrolet,tahoe,2017,40545,20948,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2017 chevrolet tahoe with Navigation system, Bluetooth, Rear camera. Condition: Engine repaired."
toyota,land-cruiser,2021,198890,127302,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 toyota land-cruiser with Bluetooth, Adaptive cruise control. Condition: Dented door."
toyota,fj-cruiser,2015,73258,211836,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2015 toyota fj-cruiser with Navigation system, Leather seats, Bluetooth, Adaptive cruise control. Condition: Minor scratches."
mercedes-benz,viano,2024,310102,220782,Van,4,Automatic Transmission,Gasoline,Silver, Dubai,"2024 mercedes-benz viano with Navigation system, Rear camera. Condition: No damage."
alfa-romeo,156159,2009,72592,259265,Sedan,6,Manual Transmission,Gasoline,Red, Dubai,"2009 alfa-romeo 156159 with Leather seats, Navigation system, Sunroof. Condition: Accident history."
audi,q5,2009,105803,129400,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2009 audi q5 with Bluetooth, Leather seats, Rear camera. Condition: Repainted bumper."
rolls-royce,cullinan,2014,2092367,110892,SUV,12,Automatic Transmission,Gasoline,Blue, Dubai,"2014 rolls-royce cullinan with Navigation system, Sunroof, Rear camera. Condition: Minor scratches."
ford,f-series-pickup,2006,78182,28868,Pick Up Truck,8,Automatic Transmission,Gasoline,Green, Dubai,"2006 ford f-series-pickup with Leather seats, Rear camera, Adaptive cruise control. Condition: Engine repaired."
maserati,ghibli,2006,96685,115588,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai,"2006 maserati ghibli with Bluetooth, Sunroof, Leather seats, Rear camera. Condition: No damage."
jeep,cherokee,2006,17813,235724,SUV,6,Automatic Transmission,Gasoline,Red, Dubai,"2006 jeep cherokee with Rear camera, Navigation system, Adaptive cruise control. Condition: Repainted bumper."
jaguar,xkr,2010,57515,202961,Coupe,8,Automatic Transmission,Gasoline,White, Dubai,"2010 jaguar xkr with Sunroof, Adaptive cruise control. Condition: Dented door."
mitsubishi,pajero,2013,58031,237124,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2013 mitsubishi pajero with Navigation system, Bluetooth. Condition: Minor scratches."
honda,pilot,2017,94045,88315,SUV,6,Automatic Transmission,Gasoline,Black, Sharjah,"2017 honda pilot with Rear camera, Navigation system. Condition: No damage."
mercedes-benz,gla,2010,91152,142493,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2010 mercedes-benz gla with Bluetooth, Adaptive cruise control. Condition: Minor scratches."
porsche,carrera,2006,404200,139928,Sports Car,6,Automatic Transmission,Gasoline,Grey, Dubai,"2006 porsche carrera with Adaptive cruise control, Navigation system, Sunroof, Leather seats. Condition: Accident history."
nissan,altima,2014,49292,246740,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2014 nissan altima with Bluetooth, Rear camera, Leather seats. Condition: Engine repaired."
maybach,other,2017,1106594,194337,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2017 maybach other with Sunroof, Bluetooth. Condition: Minor scratches."
ford,explorer,2023,58003,78624,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2023 ford explorer with Navigation system, Sunroof, Adaptive cruise control. Condition: Repainted bumper."
chevrolet,camaro,2013,182576,242282,Coupe,8,Automatic Transmission,Gasoline,Yellow, Dubai,"2013 chevrolet camaro with Rear camera, Navigation system, Bluetooth, Leather seats. Condition: Accident history."
jeep,wrangler,2012,41413,69935,SUV,6,Manual Transmission,Gasoline,Blue, Sharjah,"2012 jeep wrangler with Leather seats, Rear camera. Condition: Minor scratches."
hyundai,genesis,2005,74937,61530,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2005 hyundai genesis with Navigation system, Leather seats. Condition: No damage."
nissan,altima,2016,60986,182034,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2016 nissan altima with Leather seats, Sunroof. Condition: Engine repaired."
volkswagen,touareg,2011,83651,187103,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2011 volkswagen touareg with Bluetooth, Leather seats, Adaptive cruise control, Sunroof. Condition: Accident history."
toyota,hilux,2023,33319,233379,SUV,4,Manual Transmission,Diesel,White, Sharjah,"2023 toyota hilux with Navigation system, Adaptive cruise control. Condition: Dented door."
audi,s5rs5,2006,42487,238066,Coupe,8,Automatic Transmission,Gasoline,Black, Dubai,"2006 audi s5rs5 with Rear camera, Navigation system, Leather seats, Adaptive cruise control. Condition: Minor scratches."
rolls-royce,ghost,2008,1860142,145412,Sedan,12,Automatic Transmission,Gasoline,Black, Dubai,"2008 rolls-royce ghost with Rear camera, Sunroof, Adaptive cruise control. Condition: Accident history."
volkswagen,tiguan,2018,32054,271659,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai,"2018 volkswagen tiguan with Sunroof, Rear camera, Leather seats, Bluetooth. Condition: Engine repaired."
mitsubishi,asx,2020,33417,274177,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2020 mitsubishi asx with Leather seats, Bluetooth, Adaptive cruise control, Sunroof. Condition: Repainted bumper."
renault,duster,2010,39508,63679,Crossover,4,Automatic Transmission,Gasoline,Silver, Dubai,"2010 renault duster with Sunroof, Leather seats, Adaptive cruise control. Condition: Accident history."
toyota,rav-4,2011,51685,245697,SUV,5,Automatic Transmission,Gasoline,Red, Sharjah,"2011 toyota rav-4 with Adaptive cruise control, Rear camera. Condition: Accident history."
volkswagen,polo,2017,22947,265710,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2017 volkswagen polo with Sunroof, Rear camera, Navigation system, Adaptive cruise control. Condition: No damage."
toyota,tacoma,2015,211589,160684,SUV,6,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2015 toyota tacoma with Leather seats, Adaptive cruise control, Sunroof, Rear camera. Condition: Dented door."
mitsubishi,montero,2005,46064,299192,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2005 mitsubishi montero with Navigation system, Rear camera. Condition: Accident history."
mercedes-benz,g-class,2024,1574901,183143,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2024 mercedes-benz g-class with Navigation system, Leather seats. Condition: No damage."
toyota,land-cruiser,2008,166268,278660,SUV,8,Automatic Transmission,Gasoline,White, Abu Dhabi,"2008 toyota land-cruiser with Navigation system, Adaptive cruise control, Bluetooth, Rear camera. Condition: Repainted bumper."
chevrolet,impala,2020,49573,220592,Sedan,6,Automatic Transmission,Gasoline,Red, Sharjah,"2020 chevrolet impala with Rear camera, Adaptive cruise control, Leather seats, Bluetooth. Condition: Dented door."
nissan,patrol,2019,75677,75673,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2019 nissan patrol with Navigation system, Rear camera, Adaptive cruise control. Condition: Minor scratches."
lexus,rx-series,2019,15312,45272,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2019 lexus rx-series with Adaptive cruise control, Bluetooth, Navigation system. Condition: Accident history."
mercedes-benz,amg-gt-4-doors,2020,483720,208115,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2020 mercedes-benz amg-gt-4-doors with Adaptive cruise control, Leather seats, Sunroof, Navigation system. Condition: Engine repaired."
nissan,xterra,2020,117017,245452,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2020 nissan xterra with Navigation system, Adaptive cruise control, Bluetooth. Condition: Accident history."
bentley,continental,2011,222405,206897,Coupe,8,Automatic Transmission,Gasoline,Black, Dubai,"2011 bentley continental with Sunroof, Rear camera. Condition: Engine repaired."
lexus,lx-series,2010,352715,219276,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2010 lexus lx-series with Leather seats, Navigation system. Condition: Engine repaired."
jeep,grand-cherokee,2017,187876,10986,SUV,6,Automatic Transmission,Gasoline,Red, Dubai,"2017 jeep grand-cherokee with Leather seats, Bluetooth, Navigation system. Condition: Engine repaired."
infiniti,qx56,2018,15639,170304,SUV,8,Automatic Transmission,Gasoline,Silver, Sharjah,"2018 infiniti qx56 with Navigation system, Rear camera, Adaptive cruise control, Sunroof. Condition: Engine repaired."
mercedes-benz,e-class,2008,60358,53582,Coupe,6,Automatic Transmission,Gasoline,Red, Dubai,"2008 mercedes-benz e-class with Sunroof, Leather seats, Rear camera. Condition: Repainted bumper."
land-rover,range-rover-sport,2008,64414,290230,SUV,8,Automatic Transmission,Gasoline,White,Abu Dhabi,"2008 land-rover range-rover-sport with Sunroof, Adaptive cruise control. Condition: Engine repaired."
chevrolet,spark,2020,29502,271972,Hatchback,4,Manual Transmission,Gasoline,Blue, Dubai,"2020 chevrolet spark with Bluetooth, Leather seats, Rear camera, Adaptive cruise control. Condition: Repainted bumper."
dodge,durango,2010,47673,159704,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2010 dodge durango with Bluetooth, Sunroof, Navigation system, Leather seats. Condition: No damage."
rolls-royce,cullinan,2013,2326480,74511,SUV,12,Automatic Transmission,Gasoline,Grey, Dubai,"2013 rolls-royce cullinan with Adaptive cruise control, Rear camera, Navigation system. Condition: Dented door."
land-rover,range-rover,2006,25482,284182,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2006 land-rover range-rover with Leather seats, Bluetooth, Navigation system, Rear camera. Condition: Engine repaired."
audi,q8,2016,734967,237530,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2016 audi q8 with Sunroof, Rear camera. Condition: Dented door."
bmw,7-series,2013,266162,13854,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2013 bmw 7-series with Leather seats, Bluetooth. Condition: Dented door."
porsche,panamera,2021,320734,279406,Coupe,6,Automatic Transmission,Gasoline,Black, Dubai,"2021 porsche panamera with Navigation system, Leather seats. Condition: Engine repaired."
honda,civic,2011,63614,171265,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2011 honda civic with Leather seats, Sunroof, Adaptive cruise control. Condition: Minor scratches."
bmw,3-series,2013,58067,106259,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2013 bmw 3-series with Adaptive cruise control, Leather seats, Bluetooth. Condition: Accident history."
land-rover,range-rover-sport,2020,56692,63085,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2020 land-rover range-rover-sport with Sunroof, Bluetooth, Leather seats. Condition: Minor scratches."
bmw,7-series,2005,327020,240143,Sedan,12,Automatic Transmission,Gasoline,Grey, Dubai,"2005 bmw 7-series with Rear camera, Adaptive cruise control, Navigation system. Condition: Accident history."
toyota,hiace,2019,72783,237109,Van,4,Manual Transmission,Gasoline,White, Dubai,"2019 toyota hiace with Adaptive cruise control, Rear camera, Bluetooth. Condition: Accident history."
audi,q7,2005,58954,280760,SUV,6,Automatic Transmission,Gasoline,Red, Abu Dhabi,"2005 audi q7 with Navigation system, Leather seats, Bluetooth, Adaptive cruise control. Condition: No damage."
cadillac,ctscatera,2009,57232,137755,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai,"2009 cadillac ctscatera with Adaptive cruise control, Sunroof. Condition: Accident history."
hummer,h3,2022,24297,114383,SUV,5,Automatic Transmission,Gasoline,Silver, Dubai,"2022 hummer h3 with Bluetooth, Leather seats, Sunroof, Adaptive cruise control. Condition: Minor scratches."
toyota,avanza,2021,43030,247364,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2021 toyota avanza with Bluetooth, Rear camera. Condition: Accident history."
lexus,ls-series,2019,254091,103523,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2019 lexus ls-series with Rear camera, Bluetooth. Condition: Minor scratches."
nissan,tiida,2021,28351,134334,Hatchback,4,Automatic Transmission,Gasoline,Silver, Dubai,"2021 nissan tiida with Sunroof, Rear camera. Condition: Accident history."
ford,edge,2013,31780,107566,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2013 ford edge with Rear camera, Sunroof, Adaptive cruise control, Navigation system. Condition: Accident history."
ford,f-series-pickup,2009,299338,124408,Pick Up Truck,6,Automatic Transmission,Gasoline,Black, Dubai,"2009 ford f-series-pickup with Navigation system, Adaptive cruise control. Condition: Minor scratches."
gmc,yukon,2012,142857,172753,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2012 gmc yukon with Adaptive cruise control, Rear camera, Bluetooth, Navigation system. Condition: No damage."
bmw,m3,2022,525876,264490,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai,"2022 bmw m3 with Leather seats, Navigation system, Adaptive cruise control, Sunroof. Condition: Engine repaired."
kia,soul,2020,34901,52247,Hatchback,4,Automatic Transmission,Gasoline,Black,Sharjah,"2020 kia soul with Leather seats, Rear camera, Adaptive cruise control, Navigation system. Condition: Minor scratches."
chevrolet,impala,2019,63292,246872,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2019 chevrolet impala with Adaptive cruise control, Sunroof. Condition: Accident history."
volvo,xc90,2021,250100,132063,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2021 volvo xc90 with Leather seats, Bluetooth, Rear camera. Condition: Engine repaired."
bmw,7-series,2017,161054,247655,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai,"2017 bmw 7-series with Bluetooth, Leather seats, Adaptive cruise control, Navigation system. Condition: Engine repaired."
land-rover,range-rover-sport,2005,131112,39245,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2005 land-rover range-rover-sport with Sunroof, Leather seats, Rear camera, Navigation system. Condition: Engine repaired."
kia,sedona,2020,56415,110981,SUV,6,Automatic Transmission,Gasoline,White, Sharjah,"2020 kia sedona with Sunroof, Navigation system. Condition: Engine repaired."
mercedes-benz,s-class,2006,238105,142327,Sedan,8,Automatic Transmission,Gasoline,Silver, Dubai,"2006 mercedes-benz s-class with Adaptive cruise control, Navigation system, Bluetooth. Condition: Repainted bumper."
mini,cooper,2005,24224,137969,Hatchback,4,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2005 mini cooper with Navigation system, Sunroof, Bluetooth, Rear camera. Condition: Engine repaired."
land-rover,range-rover-sport,2010,234738,173928,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2010 land-rover range-rover-sport with Bluetooth, Adaptive cruise control, Sunroof, Rear camera. Condition: Accident history."
toyota,fj-cruiser,2009,54306,160966,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2009 toyota fj-cruiser with Bluetooth, Sunroof, Adaptive cruise control, Rear camera. Condition: Minor scratches."
toyota,camry,2009,130015,164539,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2009 toyota camry with Rear camera, Leather seats, Navigation system. Condition: Accident history."
nissan,patrol,2023,126952,106383,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2023 nissan patrol with Rear camera, Navigation system, Adaptive cruise control. Condition: Accident history."
cadillac,ct6,2007,180851,166477,Sedan,6,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2007 cadillac ct6 with Bluetooth, Rear camera, Sunroof, Leather seats. Condition: Minor scratches."
toyota,avanza,2014,44378,188240,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2014 toyota avanza with Sunroof, Adaptive cruise control. Condition: Minor scratches."
bmw,5-series,2017,159343,53891,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2017 bmw 5-series with Bluetooth, Navigation system, Rear camera, Leather seats. Condition: Accident history."
land-rover,range-rover-sport,2018,225955,83135,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2018 land-rover range-rover-sport with Navigation system, Adaptive cruise control, Bluetooth. Condition: Minor scratches."
cadillac,escalade,2020,248653,70018,SUV,8,Automatic Transmission,Gasoline,Other Color, Dubai,"2020 cadillac escalade with Adaptive cruise control, Rear camera. Condition: Dented door."
honda,civic,2019,82165,253011,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2019 honda civic with Adaptive cruise control, Navigation system, Sunroof, Leather seats. Condition: Dented door."
ford,focus,2021,21493,243415,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2021 ford focus with Bluetooth, Rear camera, Sunroof. Condition: Repainted bumper."
bmw,3-series,2006,34344,188429,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2006 bmw 3-series with Sunroof, Bluetooth, Rear camera, Leather seats. Condition: Repainted bumper."
nissan,pickup,2019,93510,189751,Pick Up Truck,4,Automatic Transmission,Gasoline,White, Dubai,"2019 nissan pickup with Adaptive cruise control, Bluetooth, Navigation system, Sunroof. Condition: Repainted bumper."
nissan,patrol,2009,129550,22163,SUV,8,Automatic Transmission,Gasoline,White, Sharjah,"2009 nissan patrol with Leather seats, Sunroof. Condition: Minor scratches."
nissan,altima,2022,67391,280344,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2022 nissan altima with Navigation system, Sunroof, Rear camera. Condition: Repainted bumper."
toyota,yaris,2024,27484,227986,Sedan,4,Automatic Transmission,Gasoline,Silver, Sharjah,"2024 toyota yaris with Leather seats, Bluetooth, Sunroof. Condition: Engine repaired."
lexus,rx-series,2013,152448,205406,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2013 lexus rx-series with Sunroof, Navigation system. Condition: Accident history."
mercedes-benz,g-class,2024,1363991,267112,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2024 mercedes-benz g-class with Navigation system, Leather seats, Sunroof, Rear camera. Condition: Accident history."
land-rover,range-rover-sport,2019,403935,14986,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2019 land-rover range-rover-sport with Rear camera, Leather seats. Condition: Dented door."
jeep,grand-cherokee,2021,28912,244401,SUV,8,Automatic Transmission,Gasoline,Green, Dubai,"2021 jeep grand-cherokee with Adaptive cruise control, Sunroof, Navigation system, Bluetooth. Condition: Dented door."
bmw,x1,2009,29898,257748,SUV,4,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2009 bmw x1 with Rear camera, Leather seats. Condition: Repainted bumper."
audi,q7,2022,50339,115902,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2022 audi q7 with Navigation system, Rear camera. Condition: No damage."
nissan,murano,2024,16138,19008,Crossover,6,Automatic Transmission,Gasoline,Black, Dubai,"2024 nissan murano with Leather seats, Rear camera. Condition: Repainted bumper."
ford,flex,2018,22707,38517,SUV,6,Automatic Transmission,Gasoline,Burgundy, Sharjah,"2018 ford flex with Bluetooth, Adaptive cruise control, Sunroof, Leather seats. Condition: Repainted bumper."
mercedes-benz,gle-class,2011,116846,273915,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2011 mercedes-benz gle-class with Bluetooth, Rear camera, Navigation system. Condition: No damage."
nissan,pathfinder,2021,30567,276825,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 nissan pathfinder with Sunroof, Rear camera, Leather seats, Navigation system. Condition: Accident history."
toyota,prado,2019,68155,25746,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2019 toyota prado with Rear camera, Leather seats. Condition: Accident history."
nissan,murano,2007,42609,223182,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2007 nissan murano with Leather seats, Navigation system, Rear camera, Adaptive cruise control. Condition: Accident history."
lamborghini,huracan,2014,2149870,265199,Sports Car,10,Automatic Transmission,Gasoline,Silver, Dubai,"2014 lamborghini huracan with Bluetooth, Rear camera. Condition: No damage."
toyota,hilux,2024,35915,297363,Pick Up Truck,4,Manual Transmission,Gasoline,White,Abu Dhabi,"2024 toyota hilux with Navigation system, Adaptive cruise control. Condition: Minor scratches."
cadillac,escalade,2010,383572,69534,Wagon,8,Automatic Transmission,Gasoline,White, Dubai,"2010 cadillac escalade with Adaptive cruise control, Navigation system. Condition: Minor scratches."
porsche,panamera,2024,83946,217217,Sedan,6,Automatic Transmission,Gasoline,Brown, Dubai,"2024 porsche panamera with Bluetooth, Navigation system. Condition: Minor scratches."
jeep,compass,2011,97766,182473,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2011 jeep compass with Sunroof, Rear camera, Leather seats. Condition: Repainted bumper."
ford,focus,2020,37064,18742,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai,"2020 ford focus with Bluetooth, Navigation system, Leather seats. Condition: Repainted bumper."
ford,mustang,2024,85428,273097,Sports Car,8,Automatic Transmission,Gasoline,Grey, Dubai,"2024 ford mustang with Adaptive cruise control, Navigation system, Leather seats. Condition: Repainted bumper."
dodge,charger,2010,32832,173561,Sedan,8,Automatic Transmission,Gasoline,White, Abu Dhabi,"2010 dodge charger with Leather seats, Rear camera. Condition: Dented door."
porsche,cayenne,2012,399001,212676,SUV,6,Automatic Transmission,Gasoline,Brown, Dubai,"2012 porsche cayenne with Bluetooth, Navigation system, Adaptive cruise control. Condition: Engine repaired."
porsche,panamera,2011,76624,290825,Sedan,8,Automatic Transmission,Gasoline,Black, Sharjah,"2011 porsche panamera with Rear camera, Navigation system, Bluetooth, Adaptive cruise control. Condition: Repainted bumper."
toyota,prado,2005,145701,281874,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2005 toyota prado with Adaptive cruise control, Bluetooth, Navigation system, Rear camera. Condition: Engine repaired."
lexus,nx-350,2010,287589,157135,Crossover,4,Automatic Transmission,Gasoline,Silver, Dubai,"2010 lexus nx-350 with Sunroof, Adaptive cruise control, Leather seats. Condition: Engine repaired."
ferrari,f12,2011,1013846,203558,Coupe,12,Automatic Transmission,Gasoline,Red, Dubai,"2011 ferrari f12 with Leather seats, Navigation system. Condition: Accident history."
nissan,patrol,2015,163812,27555,SUV,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2015 nissan patrol with Leather seats, Bluetooth. Condition: Minor scratches."
chevrolet,camaro,2018,201538,175960,Sports Car,8,Automatic Transmission,Gasoline,Silver, Dubai,"2018 chevrolet camaro with Sunroof, Adaptive cruise control, Rear camera, Bluetooth. Condition: Accident history."
kia,sorento,2005,17696,294953,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2005 kia sorento with Sunroof, Bluetooth. Condition: No damage."
gmc,yukon,2006,149467,202159,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2006 gmc yukon with Leather seats, Adaptive cruise control, Sunroof. Condition: Engine repaired."
mitsubishi,lancer,2013,41379,205362,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2013 mitsubishi lancer with Navigation system, Bluetooth, Leather seats, Adaptive cruise control. Condition: Engine repaired."
nissan,maxima,2021,82244,104278,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2021 nissan maxima with Navigation system, Leather seats, Sunroof. Condition: No damage."
ford,edge,2015,39095,166685,SUV,6,Automatic Transmission,Gasoline,Red, Abu Dhabi,"2015 ford edge with Navigation system, Adaptive cruise control, Sunroof, Leather seats. Condition: Engine repaired."
porsche,cayenne,2006,70166,196715,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2006 porsche cayenne with Leather seats, Adaptive cruise control. Condition: Accident history."
toyota,prado,2014,152998,284447,SUV,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2014 toyota prado with Rear camera, Bluetooth, Adaptive cruise control, Navigation system. Condition: Dented door."
mitsubishi,pajero,2016,17710,184662,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2016 mitsubishi pajero with Navigation system, Adaptive cruise control, Sunroof, Leather seats. Condition: Minor scratches."
toyota,land-cruiser,2014,550615,11042,SUV,6,Automatic Transmission,Diesel,Black, Dubai,"2014 toyota land-cruiser with Bluetooth, Leather seats, Adaptive cruise control, Rear camera. Condition: Repainted bumper."
aston-martin,db11,2021,764939,144763,Coupe,8,Automatic Transmission,Gasoline,Black, Dubai,"2021 aston-martin db11 with Bluetooth, Rear camera, Adaptive cruise control, Sunroof. Condition: No damage."
porsche,cayenne,2014,118095,272342,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2014 porsche cayenne with Leather seats, Adaptive cruise control. Condition: Accident history."
porsche,panamera,2023,539134,100931,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2023 porsche panamera with Sunroof, Bluetooth, Leather seats. Condition: Accident history."
porsche,carrera,2017,410487,206108,Coupe,6,Automatic Transmission,Gasoline,Black, Dubai,"2017 porsche carrera with Bluetooth, Rear camera. Condition: Repainted bumper."
porsche,panamera,2019,141256,247155,Sedan,6,Automatic Transmission,Gasoline,Red, Dubai,"2019 porsche panamera with Adaptive cruise control, Bluetooth. Condition: Engine repaired."
lexus,ls-series,2020,16042,33114,Sedan,8,Automatic Transmission,Gasoline,Red, Sharjah,"2020 lexus ls-series with Bluetooth, Navigation system, Rear camera, Leather seats. Condition: Dented door."
bmw,7-series,2021,53570,76938,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2021 bmw 7-series with Leather seats, Sunroof, Adaptive cruise control, Navigation system. Condition: Engine repaired."
ford,mustang,2019,95322,56217,Sports Car,4,Automatic Transmission,Gasoline,Red, Dubai,"2019 ford mustang with Rear camera, Sunroof, Adaptive cruise control, Bluetooth. Condition: Repainted bumper."
land-rover,range-rover-sport,2014,70805,93660,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2014 land-rover range-rover-sport with Adaptive cruise control, Bluetooth. Condition: No damage."
toyota,hilux,2018,62138,174322,Pick Up Truck,4,Manual Transmission,Gasoline,White, Dubai,"2018 toyota hilux with Leather seats, Rear camera, Sunroof, Adaptive cruise control. Condition: Repainted bumper."
toyota,hilux,2006,71402,238577,Pick Up Truck,4,Automatic Transmission,Gasoline,White, Dubai,"2006 toyota hilux with Sunroof, Adaptive cruise control, Leather seats. Condition: No damage."
isuzu,other,2016,98802,31919,Pick Up Truck,4,Automatic Transmission,Diesel,Grey, Dubai,"2016 isuzu other with Adaptive cruise control, Leather seats, Bluetooth. Condition: Repainted bumper."
